2025-06-18 14:42:36 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 990
2025-06-18 14:42:36 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 980
2025-06-18 14:42:37 | 下注: 10 | 符号: ['0', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 970
2025-06-18 14:42:37 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 960
2025-06-18 14:42:37 | 下注: 10 | 符号: ['BB', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 950
2025-06-18 14:42:37 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 940
2025-06-18 14:42:37 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 930
2025-06-18 14:42:37 | 下注: 10 | 符号: ['0', 'BB', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 920
2025-06-18 14:42:38 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 910
2025-06-18 14:42:38 | 下注: 10 | 符号: ['0', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 900
2025-06-18 14:42:38 | 下注: 10 | 符号: ['0', 'DD', 'BB'] | 倍率: 0 | 奖金: 0 | 余额: 890
2025-06-18 14:42:38 | 下注: 10 | 符号: ['0', '0', 'BB'] | 倍率: 0 | 奖金: 0 | 余额: 880
2025-06-18 14:42:38 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 870
2025-06-18 14:42:39 | 下注: 10 | 符号: ['B', 'BB', '0'] | 倍率: 0 | 奖金: 0 | 余额: 860
2025-06-18 14:42:39 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 850
2025-06-18 14:42:39 | 下注: 10 | 符号: ['0', 'BBB', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 840
2025-06-18 14:42:39 | 下注: 10 | 符号: ['DD', 'BB', '0'] | 倍率: 0 | 奖金: 0 | 余额: 830
2025-06-18 14:42:39 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 820
2025-06-18 14:42:40 | 下注: 10 | 符号: ['B', 'BB', 'BBB'] | 倍率: 5 | 奖金: 50 | 余额: 860
2025-06-18 14:42:40 | 下注: 10 | 符号: ['B', 'B', 'B'] | 倍率: 10 | 奖金: 100 | 余额: 950
2025-06-18 14:42:40 | 下注: 10 | 符号: ['B', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 940
2025-06-18 14:42:40 | 下注: 10 | 符号: ['DD', '0', '7'] | 倍率: 0 | 奖金: 0 | 余额: 930
2025-06-18 14:42:41 | 下注: 10 | 符号: ['C', 'DD', '0'] | 倍率: 4 | 奖金: 40 | 余额: 960
2025-06-18 14:42:41 | 下注: 10 | 符号: ['0', '0', 'BB'] | 倍率: 0 | 奖金: 0 | 余额: 950
2025-06-18 14:42:41 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 940
2025-06-18 14:42:41 | 下注: 10 | 符号: ['0', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 930
2025-06-18 14:42:41 | 下注: 10 | 符号: ['BBB', 'BB', '0'] | 倍率: 0 | 奖金: 0 | 余额: 920
2025-06-18 14:42:42 | 下注: 10 | 符号: ['C', 'B', 'B'] | 倍率: 2 | 奖金: 20 | 余额: 930
2025-06-18 14:42:42 | 下注: 10 | 符号: ['0', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 920
2025-06-18 14:42:42 | 下注: 10 | 符号: ['0', '7', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 910
2025-06-18 14:42:42 | 下注: 10 | 符号: ['BB', '0', 'BB'] | 倍率: 0 | 奖金: 0 | 余额: 900
2025-06-18 14:42:43 | 下注: 10 | 符号: ['B', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 890
2025-06-18 14:42:43 | 下注: 10 | 符号: ['0', 'BB', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 880
2025-06-18 14:42:43 | 下注: 10 | 符号: ['BBB', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 870
2025-06-18 14:48:52 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 990
2025-06-18 14:48:52 | 下注: 10 | 符号: ['0', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 980
2025-06-18 14:48:53 | 下注: 10 | 符号: ['B', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 970
2025-06-18 14:48:53 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 960
2025-06-18 14:48:53 | 下注: 10 | 符号: ['0', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 950
2025-06-18 14:48:53 | 下注: 10 | 符号: ['0', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 940
2025-06-18 14:48:53 | 下注: 10 | 符号: ['0', 'DD', '0'] | 倍率: 0 | 奖金: 0 | 余额: 930
2025-06-18 14:48:53 | 下注: 10 | 符号: ['0', 'BB', '7'] | 倍率: 0 | 奖金: 0 | 余额: 920
2025-06-18 14:48:54 | 下注: 10 | 符号: ['B', 'BBB', '0'] | 倍率: 0 | 奖金: 0 | 余额: 910
2025-06-18 14:48:54 | 下注: 10 | 符号: ['B', '0', 'BBB'] | 倍率: 0 | 奖金: 0 | 余额: 900
2025-06-18 14:49:00 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 890
2025-06-18 14:49:00 | 下注: 10 | 符号: ['7', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 880
2025-06-18 14:49:00 | 下注: 10 | 符号: ['0', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 870
2025-06-18 14:49:00 | 下注: 10 | 符号: ['0', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 860
2025-06-18 14:49:01 | 下注: 10 | 符号: ['0', '0', 'BB'] | 倍率: 0 | 奖金: 0 | 余额: 850
2025-06-18 14:49:01 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 840
2025-06-18 14:49:01 | 下注: 10 | 符号: ['0', '0', 'BBB'] | 倍率: 0 | 奖金: 0 | 余额: 830
2025-06-18 14:49:01 | 下注: 10 | 符号: ['B', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 820
2025-06-18 14:49:01 | 下注: 10 | 符号: ['7', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 810
2025-06-18 14:49:01 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 800
2025-06-18 14:49:02 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 790
2025-06-18 14:49:02 | 下注: 10 | 符号: ['7', '0', '7'] | 倍率: 0 | 奖金: 0 | 余额: 780
2025-06-18 14:49:02 | 下注: 10 | 符号: ['BBB', 'B', 'BB'] | 倍率: 5 | 奖金: 50 | 余额: 820
2025-06-18 16:01:49 | 下注: 10 | 符号: ['B', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 990
2025-06-18 16:01:50 | 下注: 10 | 符号: ['0', '0', 'BB'] | 倍率: 0 | 奖金: 0 | 余额: 980
2025-06-18 16:01:50 | 下注: 10 | 符号: ['0', '0', 'BB'] | 倍率: 0 | 奖金: 0 | 余额: 970
2025-06-18 16:01:50 | 下注: 10 | 符号: ['0', 'BB', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 960
2025-06-18 16:01:51 | 下注: 10 | 符号: ['0', 'BB', '0'] | 倍率: 0 | 奖金: 0 | 余额: 950
2025-06-18 16:01:51 | 下注: 10 | 符号: ['0', 'B', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 940
2025-06-18 16:01:51 | 下注: 10 | 符号: ['0', 'B', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 930
