2025-06-18 14:39:25 | 下注: 10 | 符号: ['0', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 990
2025-06-18 14:39:26 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 980
2025-06-18 14:39:27 | 下注: 10 | 符号: ['0', '7', '0'] | 倍率: 0 | 奖金: 0 | 余额: 970
2025-06-18 14:39:28 | 下注: 10 | 符号: ['BB', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 960
2025-06-18 14:39:28 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 950
2025-06-18 14:39:29 | 下注: 10 | 符号: ['0', 'BB', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 940
2025-06-18 14:39:29 | 下注: 10 | 符号: ['0', 'BB', '0'] | 倍率: 0 | 奖金: 0 | 余额: 930
2025-06-18 14:39:30 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 920
2025-06-18 14:39:31 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 910
2025-06-18 14:39:31 | 下注: 10 | 符号: ['0', '0', 'BB'] | 倍率: 0 | 奖金: 0 | 余额: 900
2025-06-18 14:39:32 | 下注: 10 | 符号: ['B', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 890
2025-06-18 14:39:33 | 下注: 10 | 符号: ['BB', 'B', 'B'] | 倍率: 5 | 奖金: 50 | 余额: 930
2025-06-18 14:39:34 | 下注: 10 | 符号: ['B', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 920
2025-06-18 14:39:35 | 下注: 10 | 符号: ['BB', 'B', 'C'] | 倍率: 2 | 奖金: 20 | 余额: 930
2025-06-18 14:39:35 | 下注: 10 | 符号: ['0', 'B', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 920
2025-06-18 14:39:36 | 下注: 10 | 符号: ['B', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 910
2025-06-18 14:39:36 | 下注: 10 | 符号: ['B', '0', 'BB'] | 倍率: 0 | 奖金: 0 | 余额: 900
2025-06-18 14:39:37 | 下注: 10 | 符号: ['BB', '0', 'DD'] | 倍率: 0 | 奖金: 0 | 余额: 890
2025-06-18 14:39:37 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 880
2025-06-18 14:39:37 | 下注: 10 | 符号: ['BBB', '0', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 870
2025-06-18 14:39:37 | 下注: 10 | 符号: ['0', 'BB', '0'] | 倍率: 0 | 奖金: 0 | 余额: 860
2025-06-18 14:39:37 | 下注: 10 | 符号: ['BBB', '7', '0'] | 倍率: 0 | 奖金: 0 | 余额: 850
2025-06-18 14:39:38 | 下注: 10 | 符号: ['0', '0', 'DD'] | 倍率: 0 | 奖金: 0 | 余额: 840
2025-06-18 14:39:38 | 下注: 10 | 符号: ['BB', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 830
2025-06-18 14:39:38 | 下注: 10 | 符号: ['0', 'BBB', '0'] | 倍率: 0 | 奖金: 0 | 余额: 820
2025-06-18 14:39:38 | 下注: 10 | 符号: ['B', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 810
2025-06-18 14:39:39 | 下注: 10 | 符号: ['B', '7', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 800
2025-06-18 14:39:39 | 下注: 10 | 符号: ['C', '0', 'B'] | 倍率: 2 | 奖金: 20 | 余额: 810
2025-06-18 14:39:39 | 下注: 10 | 符号: ['0', '0', '7'] | 倍率: 0 | 奖金: 0 | 余额: 800
2025-06-18 14:39:39 | 下注: 10 | 符号: ['B', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 790
2025-06-18 14:39:39 | 下注: 10 | 符号: ['0', '0', 'BB'] | 倍率: 0 | 奖金: 0 | 余额: 780
2025-06-18 14:39:40 | 下注: 10 | 符号: ['0', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 770
2025-06-18 14:39:40 | 下注: 10 | 符号: ['B', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 760
2025-06-18 14:39:41 | 下注: 10 | 符号: ['BBB', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 750
2025-06-18 14:39:42 | 下注: 10 | 符号: ['7', '0', '0'] | 倍率: 0 | 奖金: 0 | 余额: 740
2025-06-18 14:39:43 | 下注: 10 | 符号: ['0', 'B', '0'] | 倍率: 0 | 奖金: 0 | 余额: 730
2025-06-18 14:39:43 | 下注: 10 | 符号: ['0', 'BB', 'B'] | 倍率: 0 | 奖金: 0 | 余额: 720
2025-06-18 14:39:44 | 下注: 10 | 符号: ['0', 'DD', '0'] | 倍率: 0 | 奖金: 0 | 余额: 710
